Freelancer_ID,Job_Category,Platform,Experience_Level,Client_Region,Payment_Method,Job_Completed,Earnings_USD,Hourly_Rate,Job_Success_Rate,Client_Rating,Job_Duration_Days,Project_Type,Rehire_Rate,Marketing_Spend,earnings_per_job,earnings_per_day,marketing_efficiency,experience_score,client_trust_index,cluster,pca_1,pca_2,segment_name
1,Web Development,Fiverr,Beginner,Asia,Mobile Banking,180,1620.0,95.79,68.73,3.18,1,Fixed,40.19,53,9.0,1620.0,30.0,1,57.50666666666667,1,-1.4033991061825624,-0.4215607924605111,Balanced Mid-Tier Freelancers
2,App Development,Fiverr,Beginner,Australia,Mobile Banking,218,9078.0,86.38,97.54,3.44,54,Fixed,36.53,486,41.642201834862384,168.11111111111111,18.640657084188913,1,67.62333333333333,3,0.22215463679840944,-0.4846758421191232,Trusted Steady Performers
3,Web Development,Fiverr,Beginner,UK,Crypto,27,3455.0,85.17,86.6,4.2,46,Hourly,74.05,489,127.96296296296296,75.1086956521739,7.051020408163265,1,81.55000000000001,3,2.5150306978566754,-0.2919207690381098,Trusted Steady Performers
4,Data Entry,PeoplePerHour,Intermediate,Asia,Bank Transfer,17,5577.0,14.37,79.93,4.47,41,Hourly,27.58,67,328.05882352941177,136.02439024390245,82.01470588235294,2,65.63666666666666,2,0.13616512206492762,2.2433499883156482,Premium Specialists
5,Digital Marketing,Upwork,Expert,Asia,Crypto,245,5898.0,98.8151,57.8,5.0,41,Hourly,69.09,489,24.073469387755104,143.85365853658536,12.036734693877552,3,75.63000000000001,3,1.3719636287765329,-1.43865847060657,Trusted Steady Performers
6,Customer Support,Toptal,Beginner,Europe,Crypto,280,6867.0,43.04,57.8,4.87,8,Fixed,43.88,290,24.525,858.375,23.5979381443299,1,66.36,3,-0.15936490359526986,-0.803423814799189,Trusted Steady Performers
7,Web Development,Fiverr,Beginner,USA,Crypto,96,1677.0,20.5,52.9,4.29,32,Hourly,45.99,343,17.46875,52.40625,4.875,1,61.56333333333333,1,-0.8343826147433908,-0.717715395319442,Balanced Mid-Tier Freelancers
8,Data Entry,Toptal,Beginner,Australia,Bank Transfer,112,6193.0,82.15,93.31,3.84,30,Fixed,31.59,168,55.294642857142854,206.43333333333334,36.64497041420118,1,67.23333333333333,3,0.21388334400339373,0.45421265344590034,Trusted Steady Performers
9,Content Writing,Toptal,Intermediate,USA,Crypto,233,8446.0,26.44,80.06,4.27,46,Fixed,50.11,396,36.24892703862661,183.6086956521739,21.27455919395466,2,71.85666666666667,3,0.7446409204955676,-0.5766152114728151,Trusted Steady Performers
10,Data Entry,PeoplePerHour,Beginner,Middle East,Mobile Banking,156,6608.0,54.99,85.4,4.57,52,Hourly,32.76,160,42.35897435897436,127.07692307692308,41.04347826086956,1,69.85333333333334,3,0.4688087999652842,0.1932602073417603,Trusted Steady Performers
11,App Development,Fiverr,Beginner,Australia,Crypto,112,5322.0,17.16,51.03,3.24,89,Fixed,12.75,14,47.517857142857146,59.79775280898876,354.8,1,42.85999999999999,1,-3.853961333150093,1.8400687363195753,Balanced Mid-Tier Freelancers
12,Customer Support,Toptal,Intermediate,Australia,Mobile Banking,293,7931.0,50.09,98.5,3.82,61,Fixed,29.04,190,27.068259385665527,130.01639344262296,41.52356020942408,2,67.98,3,0.09318724153341214,-0.3882114634984088,Trusted Steady Performers
13,Customer Support,Fiverr,Intermediate,Europe,Mobile Banking,180,9033.0,58.02,91.62,4.68,13,Fixed,10.45,14,50.18333333333333,694.8461538461538,602.2,2,65.22333333333333,0,-0.25559411076721944,2.6389919677432414,Balanced Mid-Tier Freelancers
14,Data Entry,Freelancer,Beginner,Canada,Bank Transfer,290,3797.0,47.36,60.62,3.77,89,Hourly,78.48,286,13.093103448275862,42.662921348314605,13.229965156794425,1,71.5,3,0.4432821890578797,-1.5813461435999479,Trusted Steady Performers
15,App Development,Freelancer,Beginner,UK,Crypto,245,9347.0,11.6,59.09,4.14,40,Hourly,77.6,362,38.15102040816326,233.675,25.74931129476584,1,73.16333333333333,3,0.8554569900660018,-0.5560796787929043,Trusted Steady Performers
16,Data Entry,Freelancer,Intermediate,UK,Bank Transfer,149,9332.0,51.07,59.17,4.18,61,Hourly,37.66,411,62.630872483221474,152.98360655737704,22.650485436893202,2,60.143333333333324,1,-0.9510806836722498,0.16624877707902588,Balanced Mid-Tier Freelancers
17,Customer Support,Toptal,Expert,UK,Mobile Banking,18,1657.0,49.55,65.21,3.37,44,Hourly,60.99,9,92.05555555555556,37.65909090909091,165.7,3,64.53333333333335,1,-0.24785124411555068,1.0754006824223632,Balanced Mid-Tier Freelancers
18,Customer Support,Freelancer,Intermediate,Middle East,PayPal,279,5124.0,29.85,76.24,3.72,62,Hourly,34.21,56,18.365591397849464,82.64516129032258,89.89473684210526,2,61.61666666666667,1,-0.9979172945322777,-0.2899631701254413,Balanced Mid-Tier Freelancers
19,Graphic Design,PeoplePerHour,Expert,Asia,Crypto,75,7203.0,92.55,71.6,3.67,44,Hourly,56.98,198,96.04,163.70454545454547,36.19597989949749,3,67.32666666666667,2,0.3075547588651837,0.7446770098882215,Premium Specialists
20,Data Entry,PeoplePerHour,Beginner,Canada,Bank Transfer,199,6783.0,44.69,64.56,3.05,48,Hourly,66.38,160,34.085427135678394,141.3125,42.130434782608695,1,63.98,1,-0.5140709567749628,-0.08047482015352549,Balanced Mid-Tier Freelancers
21,SEO,Toptal,Beginner,USA,PayPal,15,119.96000000000001,87.09,80.59,3.05,74,Hourly,76.27,262,7.997333333333334,1.6210810810810812,0.4561216730038023,1,72.62,3,0.9521657476877772,-0.6230903162977867,Trusted Steady Performers
22,Data Entry,Fiverr,Expert,UK,Crypto,110,8050.0,15.42,56.97,4.66,59,Fixed,38.01,388,73.18181818181819,136.4406779661017,20.69408740359897,3,62.72666666666667,1,-0.554008883987024,0.25327143538720776,Balanced Mid-Tier Freelancers
23,Customer Support,Upwork,Intermediate,USA,Crypto,262,7695.0,35.29,64.61,3.55,57,Hourly,64.83,473,29.370229007633586,135.0,16.234177215189874,2,66.81333333333333,3,-0.08232418733151621,-1.0521187541659431,Trusted Steady Performers
24,Graphic Design,Fiverr,Beginner,Canada,Bank Transfer,200,9520.0,21.75,68.32,4.04,11,Fixed,28.61,380,47.6,865.4545454545455,24.986876640419947,1,59.24333333333334,1,-1.111223188700316,0.06111437648134281,Balanced Mid-Tier Freelancers
25,Graphic Design,Fiverr,Expert,Middle East,PayPal,149,4208.0,43.8,72.8,3.6,25,Fixed,79.32,252,28.241610738255034,168.32,16.632411067193676,3,74.70666666666666,3,1.2540414484346785,-0.5882851802362322,Trusted Steady Performers
26,Content Writing,Fiverr,Intermediate,Canada,Bank Transfer,224,9055.0,15.61,89.26,4.88,61,Hourly,11.8,118,40.424107142857146,148.44262295081967,76.09243697478992,2,66.22000000000001,1,-0.17141833729543268,0.4885871768714974,Balanced Mid-Tier Freelancers
27,App Development,Fiverr,Expert,Europe,Crypto,178,452.0,46.9,59.98,3.52,46,Fixed,52.25,79,2.539325842696629,9.826086956521738,5.65,3,60.876666666666665,1,-1.0078957100584671,-0.8387880527081292,Balanced Mid-Tier Freelancers
28,Digital Marketing,Upwork,Intermediate,Asia,Crypto,220,7975.0,38.62,75.71,3.86,54,Fixed,56.17,123,36.25,147.6851851851852,64.31451612903226,2,69.69333333333333,3,0.3622431807332401,0.10245617090095047,Trusted Steady Performers
29,Web Development,Freelancer,Intermediate,UK,Mobile Banking,97,4216.0,26.21,79.62,4.75,34,Hourly,58.16,312,43.4639175257732,124.0,13.46964856230032,2,77.59333333333333,3,1.7115915116583003,-0.3665061332675272,Trusted Steady Performers
30,Web Development,Fiverr,Intermediate,Middle East,Crypto,264,2975.0,66.01,52.32,4.68,84,Fixed,18.43,71,11.268939393939394,35.416666666666664,41.31944444444444,2,54.78333333333333,1,-2.070605065421662,-0.6877868566290027,Balanced Mid-Tier Freelancers
